Date,Time,Shift,Parameter Readings,,,,,,,,,TPD,Running Capacity (%),Flow (Nm^3/m),,
,,,Temp (Drive),Temp (Non-Drive),R.P.M,Vib(H) Drive,Vib(H) Non-Drive,Vib(V) Drive,Vib(V) Non-Drive,Vib(A) Drive,Vib(A) Non-Drive,,,,,
JANUARY,,,,,,,,,,,,,,,,
02/01/2026,05:30 AM,Night,37.5,41.1,2640,0.68,0.95,0.81,0.53,0.58,0.67,200,76,42.2,,
03/01/2026,05:38 AM,Night,37.5,43,2790,5.03,3.7,7.2,2.12,5.54,5.53,200,86,45.8,,
04/01/2026,5:30 AM,Day,46.6,53,2790,1.47,2.43,4,1.73,4.37,5.48,200,86,45.2,,
04/01/2026,05:30 AM,Night,38.2,41.6,2640,0.94,3.85,5.8,2.14,1.98,2.01,200,76,46,,
05/01/2026,04:10 PM,Day,41.6,42.8,2640,5.53,2.02,3.08,4.54,1.93,2.47,200,76,47.3,,
05/01/2026,05:30 AM,Night,39.5,44.4,2790,1.56,1.92,4.96,1.75,5.36,4.91,200,86,47,,
06/01/2026,04:50 PM,Day,46.7,49.7,2790,3.86,2.35,2.82,2.05,5.84,1.32,200,86,46.4,,
06/01/2026,05:30 AM,Night,39.8,43.1,2640,0.94,2.52,5.87,2,1.68,1.95,200,76,47,,
07/01/2026,04:57 PM,Day,44.3,45.6,2640,1.72,4.87,6.98,2.21,2.34,2.94,240,76,45.1,,
07/01/2026,05:30 AM,Night,39.1,41.6,2640,2.11,4.44,6.91,1.87,1.76,2.3,240,76,50.8,,
08/01/2026,05:00 PM,Night,36.8,43.5,2790,3.48,2.83,4.19,1.86,4.08,4.96,240,86,56.1,,
09/01/2026,05:30 PM,Day,43.5,47.4,2640,1,2.26,5.08,2.16,2.41,2.68,250,76,48,,
09/01/2026,05:45 AM,Night,36.8,38.9,2640,2.99,3.97,7.98,2.07,1.73,2.37,250,76,46.3,,
10/01/2026,5:30 PM,Day,46.4,52.5,2790,1.73,2.25,6.24,1.6,5.87,5.26,300,86,54.8,,
12/01/2026,04:30 PM,Day,46.3,47.3,2640,7.79,2.16,2.8,2.72,1.61,2.83,300,76,55.3,,
13/01/2026,04:48 PM,Day,44.6,41.8,2640,3.37,5.57,7.15,2.6,2.88,3.14,300,76,54.9,,
13/01/2026,05:50 PM,Night,38.3,44.4,2790,3.49,2.42,7.64,2.32,5.09,5.53,300,86,58,,
14/01/2026,5:00 AM,Night,41,44.9,2640,3.07,4.59,6.11,1.92,2.13,2.74,300,76,57.2,,
15/01/2026,5:30 AM,Day,45.9,47.5,2640,1.64,3.64,7.86,2.16,2.2,1.76,300,76,57.2,,
15/1/2026,05:30 AM,Night,39.1,46.1,2790,4.09,3.01,5.69,1.68,6.05,6.94,300,86,59.4,,
16/1/2026,05:30 AM,Day,46.3,48.3,2640,1.65,3.6,6.84,2.08,2.02,1.66,300,76,62.2,,
16/1/2026,05:40 AM,Night,38.1,43,2790,5.71,2.14,5.74,2.14,6.05,7.18,300,86,60.3,,
17/01/2026,05:30 AM,Night,39.6,42.3,2640,3.63,2.96,5.38,2.66,3.86,2.86,300,76,62.6,,
18/01/2026,05:04 PM,Day,48.1,50.2,2640,2.45,6.25,6.75,2.17,1.43,1.75,300,76,65.9,,
18/01/2026,05:30 AM,Night,40.6,44.5,2640,2.9,6.67,8.94,2.41,2.07,2.77,300,76,65.9,,
19/01/2026,04:45 PM,Day,45.8,46.8,2790,5.31,3.17,6.39,3.1,6.15,7.47,300,86,65.9,,
19/1/2026,05:30 AM,Night,42.3,47.6,2790,2.76,6.36,3.94,2.89,1.39,5.81,300,86,65.4,,
20/01/2026,05:05 PM,Day,36.5,37.9,2640,2.2,7.05,7.75,2.31,1.88,2.6,300,76,66,,
20/01/2026,05:05 AM,Night,37.8,43.7,2790,1.73,2.6,3.69,3.27,6,5.92,300,86,51.3,,
